MSA,Year,Uninsured Population,Total Population,Percentage of Uninsured Population
"Atlanta-Sandy Springs-Marietta, GA ",2010,1041340,5244660,0.198552432
"Augusta-Richmond County, GA-SC ",2010,89738,541705,0.16565843
"Austin-Round Rock-San Marcos, TX ",2010,330058,1710245,0.192988724
"Baltimore-Towson, MD ",2010,268069,2665963,0.100552408
"Birmingham-Hoover, AL ",2010,151717,1117020,0.135822993
"Boston-Cambridge-Quincy, MA-NH ",2010,224398,4508800,0.049768896
"Buffalo-Niagara Falls, NY ",2010,85735,1120190,0.076536123
"Charlotte-Gastonia-Rock Hill, NC-SC ",2010,296272,1751560,0.169147503
"Charlottesville, VA ",2010,,,0.159427592
"Chicago-Joliet-Naperville, IL-IN-WI ",2010,1406405,9394341,0.14970768
"Cincinnati-Middletown, OH-KY-IN ",2010,245056,2104138,0.116463844
"Cleveland, TN ",2010,,,0.115891108
"Cleveland-Elyria-Mentor, OH ",2010,236086,2047254,0.115318373
"Columbus, GA-AL ",2010,,,0.116994058
"Columbus, IN ",2010,,,0.118669743
"Columbus, OH ",2010,218681,1817111,0.120345427
"Dallas-Fort Worth-Arlington, TX ",2010,1431927,6339312,0.225880506
"Denver-Aurora-Broomfield, CO ",2010,400031,2536850,0.157688078
"Detroit-Warren-Livonia, MI ",2010,559035,4263706,0.13111481
"Fresno, CA ",2010,185812,922483,0.201425934
"Houston-Sugar Land-Baytown, TX ",2010,1500355,5924557,0.253243407
"Indianapolis-Carmel, IN ",2010,260247,1735161,0.149984353
"Jacksonville, FL ",2010,211021,1323923,0.15939069
"Jacksonville, NC ",2010,,,0.146339146
"Kansas City, MO-KS ",2010,268337,2013218,0.133287602
"Las Vegas-Paradise, NV ",2010,446473,1929484,0.231395026
"Los Angeles-Long Beach-Santa Ana, CA ",2010,2829788,12755004,0.221857084
"Louisville/Jefferson County, KY-IN ",2010,163595,1267434,0.129075755
"Memphis, TN-MS-AR ",2010,207802,1298982,0.159972963
"Miami-Fort Lauderdale-Pompano Beach, FL ",2010,1475487,5517868,0.267401649
"Milwaukee-Waukesha-West Allis, WI ",2010,156395,1545012,0.101225751
"Minneapolis-St. Paul-Bloomington, MN-WI ",2010,297382,3256442,0.091321141
"Nashville-Davidson--Murfreesboro--Franklin, TN ",2010,227085,1572199,0.144437822
"New York-Northern New Jersey-Long Island, NY-NJ-PA ",2010,2548241,18750885,0.135899772
"Oklahoma City, OK ",2010,216725,1237705,0.175102306
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",2010,596326,5886309,0.101307288
"Phoenix-Mesa-Glendale, AZ ",2010,709156,4150399,0.170864536
